code;grd;adresse;departement;telephone;contact;eic;site_web;code_postal;code_commune;commune;dep_nom;reg_nom;energie;pdl;sdes;geo
AZGN;Antargaz-Finagaz;3, place de la Saverne;92;08 11 00 07 07;;;gaznaturel.antargaz.fr/energie-particuliers;92400;;Courbevoie;;;Gaz;;EL152;
GBWR;Caléo;7, route de Colmar - BP 117;68;03 89 62 12 12;;;caleo-guebwiller.fr;68502;68112;Guebwiller Cedex;Haut-Rhin;Grand Est;Gaz;;EDG18;47.9096692207, 7.21013500007
COOP;Coopérative d'électricité de Villiers sur Marne;11Bis, rue André Maginot;94;01 49 30 20 52;contact@coop-elec.fr;17X100B100A21445;coop-elec.fr;94350;94079;Villiers-sur-Marne;Val-de-Marne;Île-de-France;Électricité;660;EL004;48.8259586165, 2.54520483293
ENED;Enedis;34, place des corolles;92;;;17X100A100A0001A;enedis.fr/;92400;92026;Courbevoie;Hauts-de-Seine;Île-de-France;Électricité;500-599,800-899;EL145;48.8984504771, 2.25570587289
SESS;Energie et Services de Seyssel;32, Rue de Savoie - 74910 SEYSSEL;74;04 50 56 10 22;informations@regie-seyssel.com;17X100A100A0513K;es-seyssel.com;74910;74269;Seyssel;Haute-Savoie;Auvergne-Rhône-Alpes;Électricité;818;EL022;45.959506245, 5.8529871085
SARR;Energies et Services Sarre-Union;10 Chemin de la Sarre - BP 57;67;03 88 00 13 71;regie@electricite-sarre-union.fr;17X100B100A2120J;energies-services.org/sarre-union;67262;67434;Sarre-Union Cedex;Bas-Rhin;Grand Est;Électricité;796;EL058;48.9451866571, 7.08863161456
LAVAG;Energies Services Lavaur;18, Avenue Victor Hugo;81;05 63 83 64 80;s.blanc@rmel81.fr;17X100B100A2058Z;esl-energies.fr;81500;81140;Lavaur;Tarn;Occitanie;Gaz;;EL012;43.6895628711, 1.79437213708
CARX;Ene'O - Energies Services Occitans;57, ter avenue Bouloc-Torcatis - BP 10;81;05 63 80 22 25;courrier@rmgecarmaux.fr;17X100B100A2026B;oya-energies.fr/;81400;81060;Carmaux;Tarn;Occitanie;Électricité;646;EL011;44.0566667256, 2.16641418483
AVOL;Energis;53 Rue Foch - BP 50005;57;03 87 91 25 03;accueil@regie-energis.com;17XST-AVOLD2096H;www.regie-energis.com;57501;57500;Saint Avold Cedex;Moselle;Grand Est;Électricité;616;EL074;48.6801953438, 6.97253040466
BARRE;Gaz de Barr;1 Rue du Lycée - BP 37;67;03 88 58 56 70;gdb@gaz-de-barr.fr;17X100B100B2010K;gaz-de-barr.com;67141;67021;Barr Cedex;Bas-Rhin;Grand Est;Électricité;624;EL056;48.4149512356, 7.39930438782
